;pt1	pt2	distance	type
271	270	163.334349342255790	Q20220830092916
271	272	163.334349342255790	Q20220830092916
272	271	163.334349342255790	Q20220830092916
272	273	163.334349342255790	Q20220830092916
273	272	163.334349342255790	Q20220830092916
273	274	163.334349342255790	Q20220830092916
274	273	163.334349342255790	Q20220830092916
274	275	163.334349342255790	Q20220830092916
275	274	163.334349342255790	Q20220830092916
275	276	163.334349342255790	Q20220830092916
276	275	163.334349342255790	Q20220830092916
276	277	163.334349342255790	Q20220830092916
277	276	163.334349342255790	Q20220830092916
277	278	163.334349342255790	Q20220830092916
278	277	163.334349342255790	Q20220830092916
278	279	163.334349342255790	Q20220830092916
279	278	163.334349342255790	Q20220830092916
279	280	163.334349342255790	Q20220830092916
280	279	163.334349342255790	Q20220830092916
280	281	163.334349342255790	Q20220830092916
281	280	163.334349342255790	Q20220830092916
281	282	163.334349342255790	Q20220830092916
282	281	163.334349342255790	Q20220830092916
282	283	163.334349342255790	Q20220830092916
283	282	163.334349342255790	Q20220830092916
283	284	163.334349342255790	Q20220830092916
284	283	163.334349342255790	Q20220830092916
284	285	163.334349342255790	Q20220830092916
285	284	163.334349342255790	Q20220830092916
285	286	163.334349342255790	Q20220830092916
286	285	163.334349342255790	Q20220830092916
286	287	163.334349342255790	Q20220830092916
287	286	163.334349342255790	Q20220830092916
287	288	163.334349342312410	Q20220830092916
288	287	163.334349342312410	Q20220830092916
288	289	163.334349342312410	Q20220830092916
289	288	163.334349342312410	Q20220830092916
289	290	163.334349342312410	Q20220830092916
290	289	163.334349342312410	Q20220830092916
290	291	163.334349342312410	Q20220830092916
291	290	163.334349342312410	Q20220830092916
291	292	163.334349342312410	Q20220830092916
292	291	163.334349342312410	Q20220830092916
292	293	163.334349342312410	Q20220830092916
293	292	163.334349342312410	Q20220830092916
293	294	163.334349342312410	Q20220830092916
294	293	163.334349342312410	Q20220830092916
294	295	163.334349342312410	Q20220830092916
295	294	163.334349342312410	Q20220830092916
295	296	163.334349342312410	Q20220830092916
296	295	163.334349342312410	Q20220830092916
296	297	163.334349342312410	Q20220830092916
297	296	163.334349342312410	Q20220830092916
297	298	163.334349342312410	Q20220830092916
298	297	163.334349342312410	Q20220830092916
298	299	163.334349342369050	Q20220830092916
299	298	163.334349342369050	Q20220830092916
299	300	163.334349342152850	Q20220830092916
300	299	163.334349342152850	Q20220830092916
300	301	163.334349342312410	Q20220830092916
301	300	163.334349342312410	Q20220830092916
301	302	274.119351834817050	Q20220830092916
302	301	274.119351834817050	Q20220830092916
302	303	163.334349342255080	Q20220830092916
303	302	163.334349342255080	Q20220830092916
303	304	163.334349342255080	Q20220830092916
304	303	163.334349342255080	Q20220830092916
304	305	163.334349342255080	Q20220830092916
305	304	163.334349342255080	Q20220830092916
305	306	163.334349342255080	Q20220830092916
306	305	163.334349342255080	Q20220830092916
306	307	163.334349342255080	Q20220830092916
307	306	163.334349342255080	Q20220830092916
307	308	163.334349342255080	Q20220830092916
308	307	163.334349342255080	Q20220830092916
308	309	163.334349342255080	Q20220830092916
309	308	163.334349342255080	Q20220830092916
309	310	163.334349342255080	Q20220830092916
310	309	163.334349342255080	Q20220830092916
310	311	163.334349342255080	Q20220830092916
311	310	163.334349342255080	Q20220830092916
311	312	163.334349342255080	Q20220830092916
312	311	163.334349342255080	Q20220830092916
312	313	163.334349342255080	Q20220830092916
313	312	163.334349342255080	Q20220830092916
313	314	163.334349342255080	Q20220830092916
314	313	163.334349342255080	Q20220830092916
314	315	163.334349342255080	Q20220830092916
315	314	163.334349342255080	Q20220830092916
315	316	163.334349342255080	Q20220830092916
316	315	163.334349342255080	Q20220830092916
316	317	163.334349342255080	Q20220830092916
317	316	163.334349342255080	Q20220830092916
317	318	163.334349342255080	Q20220830092916
318	317	163.334349342255080	Q20220830092916
318	319	163.334349342255080	Q20220830092916
319	318	163.334349342255080	Q20220830092916
319	320	163.334349342255080	Q20220830092916
320	319	163.334349342255080	Q20220830092916
320	321	163.334349342255080	Q20220830092916
321	320	163.334349342255080	Q20220830092916
321	322	163.334349342259430	Q20220830092916
322	321	163.334349342259430	Q20220830092916
322	323	163.334349342255080	Q20220830092916
323	322	163.334349342255080	Q20220830092916
323	324	163.334349342259430	Q20220830092916
324	323	163.334349342259430	Q20220830092916
324	325	163.334349342255080	Q20220830092916
325	324	163.334349342255080	Q20220830092916
325	326	163.334349342259430	Q20220830092916
326	325	163.334349342259430	Q20220830092916
326	327	163.334349342255080	Q20220830092916
327	326	163.334349342255080	Q20220830092916
327	328	163.334349342259430	Q20220830092916
328	327	163.334349342259430	Q20220830092916
328	329	163.334349342255080	Q20220830092916
329	328	163.334349342255080	Q20220830092916
329	330	163.334349342259430	Q20220830092916
330	329	163.334349342259430	Q20220830092916
330	331	163.334349342255080	Q20220830092916
331	330	163.334349342255080	Q20220830092916
331	332	163.334349342259430	Q20220830092916
332	331	163.334349342259430	Q20220830092916
332	333	163.334349342255080	Q20220830092916
333	332	163.334349342255080	Q20220830092916
333	334	163.334349342259430	Q20220830092916
334	333	163.334349342259430	Q20220830092916
334	335	163.334349342255080	Q20220830092916
335	334	163.334349342255080	Q20220830092916
335	336	163.334349342259430	Q20220830092916
336	335	163.334349342259430	Q20220830092916
336	337	163.334349342255080	Q20220830092916
337	336	163.334349342255080	Q20220830092916
337	338	163.334349342259430	Q20220830092916
338	337	163.334349342259430	Q20220830092916
338	339	163.334349342255080	Q20220830092916
339	338	163.334349342255080	Q20220830092916
339	340	163.334349342259430	Q20220830092916
340	339	163.334349342259430	Q20220830092916
340	341	163.334349342255080	Q20220830092916
341	340	163.334349342255080	Q20220830092916
341	342	163.334349342259430	Q20220830092916
342	341	163.334349342259430	Q20220830092916
342	343	163.334349342255080	Q20220830092916
343	342	163.334349342255080	Q20220830092916
343	344	163.334349342259430	Q20220830092916
344	343	163.334349342259430	Q20220830092916
344	345	163.334349342255080	Q20220830092916
345	344	163.334349342255080	Q20220830092916
345	346	163.334349342259430	Q20220830092916
